FID,Shape,id,type,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025
7597,Polygon,7598,agrl1691,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7598,Polygon,7599,agrl1692,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7599,Polygon,7600,agrl1693,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7600,Polygon,7601,agrl1694,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7601,Polygon,7602,agrl1695,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7602,Polygon,7603,agrl1696,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7603,Polygon,7604,agrl1697,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7604,Polygon,7605,agrl1698,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7605,Polygon,7606,agrl1699,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7606,Polygon,7607,agrl1700,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
